dataset_id,dataset,n_samples,n_features,n_classes,method,ACC_full_precision,ARI_full_precision,NMI_full_precision,ACC_display_2dp,ARI_display_2dp,NMI_display_2dp,valid,source
D5,Obesity,2111,31,7,CSPA,36.617716721932736,18.02030476389708,25.034303155985255,36.62,18.02,25.03,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Obesity;method=CSPA;unit=fraction_to_percent
D5,Obesity,2111,31,7,HGPA,34.722880151586927,14.848756261083529,19.248756848961102,34.72,14.85,19.25,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Obesity;method=HGPA;unit=fraction_to_percent
D5,Obesity,2111,31,7,MCLA,40.928469919469446,22.026865066712378,27.521423637814957,40.93,22.03,27.52,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Obesity;method=MCLA;unit=fraction_to_percent
D5,Obesity,2111,31,7,EAC,42.349597347228801,20.858705598779856,27.588730658282051,42.35,20.86,27.59,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Obesity;method=EAC;unit=fraction_to_percent
D5,Obesity,2111,31,7,KCC,43.8180956892468,22.691989638841942,29.519748156764597,43.82,22.69,29.52,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Obesity;method=KCC;unit=fraction_to_percent
D5,Obesity,2111,31,7,ECPCS-HC,39.175746091899571,20.478158482192413,28.91063621494378,39.18,20.48,28.91,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Obesity;method=ECPCS-HC;unit=fraction_to_percent
D5,Obesity,2111,31,7,SDGCA,41.970630033159639,18.326116186033528,26.47029975789848,41.97,18.33,26.47,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Obesity;method=SDGCA;unit=fraction_to_percent
D5,Obesity,2111,31,7,RANGE,41.970630033159639,22.937785713942349,28.382305877227754,41.97,22.94,28.38,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Obesity;method=RANGE;unit=fraction_to_percent
D5,Obesity,2111,31,7,BEGF (Ours),42.586451918522028,24.94013585525518,30.598186034557878,42.59,24.94,30.60,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Obesity;method=BMGF-PROJ-L;unit=fraction_to_percent
D6,USPS,9298,256,10,Base clusterings (avg.),63.459883845988385,52.506024727037626,59.342036465899373,63.46,52.51,59.34,YES,BASE_PARTITION_MEAN_METRICS_RAW.csv#dataset=USPS_wave2;unit=fraction_to_percent
D6,USPS,9298,256,10,CSPA,56.603570660357061,41.977314361001872,51.473739348591918,56.60,41.98,51.47,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=USPS;method=CSPA;unit=fraction_to_percent
D6,USPS,9298,256,10,HGPA,11.411056141105615,-0.0014200791224248468,0.17690202084691632,11.41,0.00,0.18,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=USPS;method=HGPA;unit=fraction_to_percent
D6,USPS,9298,256,10,MCLA,63.43299634329963,52.483192907998155,59.3153664017674,63.43,52.48,59.32,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=USPS;method=MCLA;unit=fraction_to_percent
D6,USPS,9298,256,10,EAC,63.454506345450634,52.509260308765793,59.352538213267525,63.45,52.51,59.35,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=USPS;method=EAC;unit=fraction_to_percent
D6,USPS,9298,256,10,KCC,58.388900838890079,48.304941014338049,56.684267945318179,58.39,48.30,56.68,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=USPS;method=KCC;unit=fraction_to_percent
D6,USPS,9298,256,10,ECPCS-HC,63.454506345450634,52.509260308765793,59.352538213267525,63.45,52.51,59.35,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=USPS;method=ECPCS-HC;unit=fraction_to_percent
D6,USPS,9298,256,10,SDGCA,63.45450634545063,52.50896143989632,59.36109526836645,63.45,52.51,59.36,YES,usps_sdgca_matched_begf10_seed9002_r1/metrics.json#dataset=USPS;method=SDGCA;formal_seed=9002;metrics_percent
D6,USPS,9298,256,10,RANGE,63.454506345450634,52.509260308765782,59.352538213267514,63.45,52.51,59.35,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=USPS;method=RANGE;unit=fraction_to_percent
D6,USPS,9298,256,10,BEGF (Ours),63.43299634329963,52.483490948279166,59.306809903291391,63.43,52.48,59.31,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=USPS;method=BMGF-PROJ-L;unit=fraction_to_percent
D7,PAMAP2,18716,128,7,Base clusterings (avg.),50.555216316062657,34.161413998110468,45.278474444593075,50.56,34.16,45.28,YES,BASE_PARTITION_MEAN_METRICS_RAW.csv#dataset=pamap2_age;unit=fraction_to_percent
D7,PAMAP2,18716,128,7,CSPA,69.245565291729005,51.987218636155896,58.522196487250522,69.25,51.99,58.52,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=PAMAP2;method=CSPA;unit=fraction_to_percent
D7,PAMAP2,18716,128,7,HGPA,46.420175251122037,26.266309403652754,39.048613283727529,46.42,26.27,39.05,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=PAMAP2;method=HGPA;unit=fraction_to_percent
D7,PAMAP2,18716,128,7,MCLA,64.559734986108142,48.6230698145665,57.805658315106134,64.56,48.62,57.81,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=PAMAP2;method=MCLA;unit=fraction_to_percent
D7,PAMAP2,18716,128,7,EAC,17.306048300919,0.0007604828855932395,0.075581595293045369,17.31,0.00,0.08,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=PAMAP2;method=EAC;unit=fraction_to_percent
D7,PAMAP2,18716,128,7,KCC,72.007907672579607,56.495337368483234,62.064581210797076,72.01,56.50,62.06,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=PAMAP2;method=KCC;unit=fraction_to_percent
D7,PAMAP2,18716,128,7,ECPCS-HC,52.377644795896561,34.853281850804652,57.227634894864954,52.38,34.85,57.23,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=PAMAP2;method=ECPCS-HC;unit=fraction_to_percent
D7,PAMAP2,18716,128,7,SDGCA,,,,,,,NO,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=PAMAP2;method=SDGCA;status=PROTOCOL_BLOCKED;no_metric_for_invalid_paper_row
D7,PAMAP2,18716,128,7,RANGE,74.775593075443469,61.358617159156081,66.601338953329392,74.78,61.36,66.60,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=PAMAP2;method=RANGE;unit=fraction_to_percent
D7,PAMAP2,18716,128,7,BEGF (Ours),69.73178029493482,58.57756358961056,67.705765581511546,69.73,58.58,67.71,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=PAMAP2;method=BMGF-PROJ-L;unit=fraction_to_percent
D8,EMNIST-Balanced,131600,784,47,Base clusterings (avg.),27.578343465045591,14.310828746210316,37.154194555248143,27.58,14.31,37.15,YES,BASE_PARTITION_MEAN_METRICS_RAW.csv#dataset=EMNIST-Balanced;unit=fraction_to_percent
D8,EMNIST-Balanced,131600,784,47,CSPA,,,,,,,NO,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=EMNIST-Balanced;method=CSPA;status=FAILED_FINAL;no_metric_for_invalid_paper_row
